movie_code,movie_title,movie_genre,movie_director,movie_actor,movie_poster,movie_trailer,similar_movie,movie_story,story_keyword
171539,그린 북,['드라마'],피터 패럴리,"['비고 모텐슨', '마허샬라 알리']",https://movie-phinf.pstatic.net/20190115_228/1547528180168jgEP7_JPEG/movie_image.jpg,41189,"[10020, 25906, 17059, 34969, 44885, 70615, 18285, 82283, 69339]","1962년 미국, 입담과 주먹만 믿고 살아가던 토니 발레롱가(비고 모텐슨)는 교양과 우아함 그 자체인천재 피아니스트 돈 셜리(마허샬라 알리) 박사의 운전기사 면접을 보게 된다.백악관에도 초청되는 등 미국 전역에서 콘서트 요청을 받으며 명성을 떨치고 있는 돈 셜리는위험하기로 소문난 미국 남부 투어 공연을 떠나기로 결심하고,투어 기간 동안 자신의 보디가드 겸 운전기사로 토니를 고용한다.거친 인생을 살아온 토니 발레롱가와 교양과 기품을 지키며 살아온 돈 셜리 박사.생각, 행동, 말투, 취향까지 달라도 너무 다른 두 사람은그들을 위한 여행안내서 ‘그린북’에 의존해 특별한 남부 투어를 시작하는데…","['면접', '초청', '발레', '공연', '여행안내서', '남부', '백악관', '피아니스트', '투어', '콘서트']"
174830,가버나움,['드라마'],나딘 라바키,"['자인 알 라피아', '요르다노스 시프로우']",https://movie-phinf.pstatic.net/20190109_149/1546998123676c6LjJ_JPEG/movie_image.jpg,41194,"[53152, 89627, 49380, 79315, 47428, 123268, 49957, 76452, 37439]","나를 세상에 태어나게 한 ""부모님을 고소하고 싶어요...""-출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터","['자인', '기록', '세상', '어쩌면', '출생', '소년', '부모님']"
144906,베일리 어게인,"['모험', '코미디', '드라마']",라세 할스트롬,"['조시 게드', '데니스 퀘이드', 'K.J. 아파']",https://movie-phinf.pstatic.net/20181031_264/1540949415228uy0j3_JPEG/movie_image.jpg,40364,"[36666, 187351, 79770, 62249, 64161, 39473, 65113, 129383, 66253]","귀여운 소년 ‘이든’의 단짝 반려견 ‘베일리’는 행복한 생을 마감한다.하지만 눈을 떠보니 다시 시작된 견생 2회차, 아니 3회차?!1등 경찰견 ‘엘리’에서 찰떡같이 마음을 알아주는 소울메이트 ‘티노’까지!다시 태어날 때마다 성별과 생김새, 직업(?)에 이름도 바뀌지만,여전히 영혼만은 사랑 충만! 애교 충만! 주인바라기 ‘베일리’어느덧 견생 4회차, 방랑견이 되어 떠돌던 ‘베일리’는마침내 자신이 돌아온 진짜 이유를 깨닫고 어딘가로 달려가기 시작하는데…","['티노', '단짝', '진짜', '찰떡', '소년', '일리', '주인', '방랑견', '반려견', '사랑']"
151196,원더,['드라마'],스티븐 크보스키,"['제이콥 트렘블레이', '줄리아 로버츠', '오웬 윌슨']",https://movie-phinf.pstatic.net/20210201_56/16121602734716k8oV_JPEG/movie_image.jpg,37112,"[12918, 96910, 68258, 39619, 34969, 140787, 47428, 103331, 31231]","누구보다 위트 있고 호기심 많은 매력 부자 ‘어기'(제이콥 트렘블레이).하지만 남들과 다른 외모로 태어난 ‘어기'는 모두가 좋아하는 크리스마스 대신 얼굴을 감출 수 있는 할로윈을 더 좋아한다.10살이 된 아들에게 더 큰 세상을 보여주고 싶었던 엄마 ‘이사벨’(줄리아 로버츠)과 아빠 ‘네이트’(오웬 윌슨)는 ‘어기'를 학교에 보낼 준비를 하고, 동생에게 모든 것을 양보해왔지만 누구보다 그를 사랑하는 누나 ‘비아'도 ‘어기'의 첫걸음을 응원해준다.그렇게 가족이 세상의 전부였던 ‘어기'는 처음으로 헬멧을 벗고 낯선 세상에 용감하게 첫발을 내딛지만 첫날부터 ‘남다른 외모'로 화제의 주인공이 되고, 사람들의 시선에 큰 상처를 받는다.그러나 ‘어기'는 27번의 성형(?)수술을 견뎌낸 긍정적인 성격으로 다시 한번 용기를 내고, 주변 사람들도 하나둘 변하기 시작하는데...","['할로윈', '용기', '사랑', '동생', '가족', '학교', '낯선', '호기심', '부자', '크리스마스']"
169240,아일라,"['드라마', '전쟁']",잔 울카이,"['김설', '이스마일 하지오글루']",https://movie-phinf.pstatic.net/20180524_108/1527129319423XRTcI_JPEG/movie_image.jpg,39091,"[34969, 31231, 39473, 31913, 140787, 47428, 39619, 12918, 35071]","1950년 한국전쟁에 파병된 ‘슐레이만’은 칠흑 같은 어둠 속 홀로 남겨진 5살 소녀를 발견한다.전쟁과 부모를 잃은 충격 속에 말을 잃은 소녀. ‘슐레이만’은 소녀에게 터키어로 ‘달’이라는 뜻의 ‘아일라’라는 이름을 지어주고 함께 부대로 향한다. 서로에게 무엇과도 바꿀 수 없는 가장 소중한 존재가 된 두 사람. 그러나 행복도 잠시, ‘슐레이만’은 종전과 함께 고국으로 돌아가라는 명령을 받게 되고, ‘아일라’를 끝까지 지켜내기 위해 모두의 반대 속에 자신의 선택을 감행하게 되는데…전 세계를 감동시킨 위대한 이야기가 찾아온다!","['반대', '전쟁', '종전', '홀로', '터키어', '어둠', '소녀', '한국', '행복', '부모']"
157243,당갈,"['드라마', '액션']",니테쉬 티와리,"['아미르 칸', '파티마 사나 셰이크', '산야 말호트라']",https://movie-phinf.pstatic.net/20180329_2/1522287706725roSen_JPEG/movie_image.jpg,38356,"[70615, 85351, 63017, 47428, 73588, 79315, 75006, 53902, 125447]","전직 레슬링 선수였던 ‘마하비르 싱 포갓(아미르 칸)’은 아버지의 반대로 금메달의 꿈을 이루지 못한 채 레슬링을 포기한다.아들을 통해 꿈을 이루겠다는 생각은 내리 딸만 넷이 태어나면서 좌절된다.그러던 어느 날, 두 딸이 또래 남자아이들을 신나게 때린 모습에서 잠재력을 발견하고 레슬링 특훈에 돌입한다.사람들의 따가운 시선과 조롱에도 불구하고 첫째 기타(파티마 사나 셰이크)와 둘째 바비타(산야 말호트라)는아버지의 훈련 속에 재능을 발휘, 승승장구 승리를 거두며 국가대표 레슬러로까지 성장해 마침내 국제대회에 출전하는데...","['아버지', '특훈', '잠재력', '재능', '대회', '레슬링', '훈련', '금메달', '좌절', '조롱']"
181710,포드 V 페라리,"['액션', '드라마']",제임스 맨골드,"['맷 데이먼', '크리스찬 베일']",https://movie-phinf.pstatic.net/20191204_91/15754257752042kHvB_JPEG/movie_image.jpg,43976,"[33513, 42690, 31475, 38083, 32126, 36666, 70651, 39157, 12918]","1960년대, 매출 감소에 빠진 ‘포드’는 판매 활로를 찾기 위해스포츠카 레이스를 장악한 절대적 1위 ‘페라리’와의 인수 합병을 추진한다.막대한 자금력에도 불구, 계약에 실패하고 엔초 페라리로부터 모욕까지 당한 헨리 포드 2세는르망 24시간 레이스에서 페라리를 박살 낼 차를 만들 것을 지시한다. 불가능을 즐기는 두 남자를 주목하라!세계 3대 자동차 레이싱 대회이자 ‘지옥의 레이스’로 불리는 르망 24시간 레이스.출전 경험조차 없는 ‘포드’는 대회 6연패를 차지한 ‘페라리’에 대항하기 위해르망 레이스 우승자 출신 자동차 디자이너 ‘캐롤 셸비’(맷 데이먼)를 고용하고, 그는 누구와도 타협하지 않지만 열정과 실력만큼은 최고인 레이서 ‘켄 마일스’(크리스찬 베일)를 자신의 파트너로 영입한다.포드의 경영진은 제 멋대로인 ‘켄 마일스’를 눈엣가시처럼 여기며자신들의 입맛에 맞춘 레이스를 펼치기를 강요하지만두 사람은 어떤 간섭에도 굴하지 않고 불가능을 뛰어넘기 위한 질주를 시작하는데…그 어떤 각본보다 놀라운 실화가 펼쳐진다!","['고용', '디자이너', '열정', '모욕', '레이싱', '매출', '우승자', '연패', '포드', '스포츠카']"
17421,쇼생크 탈출,['드라마'],프랭크 다라본트,"['팀 로빈스', '모건 프리먼']",https://movie-phinf.pstatic.net/20160119_278/14531650465287bcuk_JPEG/movie_image.jpg,30006,"[71546, 34093, 147388, 51132, 31310, 146560, 60548, 72043, 10020]","촉망 받던 은행 부지점장 ‘앤디(팀 로빈슨 分)’는 아내와 그 애인을 살해한 혐의로 종신형을 받고 쇼생크 교도소에 수감된다.강력범들이 수감된 이곳에서 재소자들은 짐승 취급 당하고, 혹여 간수 눈에 잘못 보였다가는 개죽음 당하기 십상이다.처음엔 적응 못하던 ‘앤디’는 교도소 내 모든 물건을 구해주는 ‘레드(모건 프리먼 分)’와 친해지며 교도소 생활에 적응하려 하지만, 악질 재소자에게 걸려 강간까지 당한다.그러던 어느 날, 간수장의 세금 면제를 도와주며 간수들의 비공식 회계사로 일하게 되고, 마침내는 소장의 검은 돈까지 관리해주게 된다.덕분에 교도소 내 도서관을 열 수 있게 되었을 무렵, 신참내기 ‘토미(길 벨로우스 分)’로부터 ‘앤디’의 무죄를 입증할 기회를 얻지만, 노튼 소장은 ‘앤디’를 독방에 가두고 ‘토미’를 무참히 죽여버리는데...","['로빈슨', '도서관', '애인', '혐의', '짐승', '회계사', '강간', '수감', '교도소', '개죽음']"
10200,터미네이터 2:오리지널,"['SF', '액션', '스릴러']",제임스 카메론,['아놀드 슈왈제네거'],https://movie-phinf.pstatic.net/20191010_99/1570669194041iWfdl_JPEG/movie_image.jpg,43824,"[39619, 66069, 96910, 68258, 72043, 36666, 95808, 47428, 36957]","미래, 인류와 기계의 전쟁은 계속 되는 가운데 스카이넷은 인류 저항군 사령관 존 코너를 없애기 위해액체 금속형 로봇인 T-1000을 과거의 어린 존 코너에게로 보낸다. 미래의 인류 운명을 쥔 어린 존 코너. 스카이넷의 T-1000은 거침없이 숨 가쁜 추격을 시작하는데…","['저항', '과거', '인류', '운명', '스카이', '미래', '전쟁', '기계', '금속', '로봇']"
154667,덕구,['드라마'],방수인,"['이순재', '정지훈']",https://movie-phinf.pstatic.net/20180312_10/1520835949152TqOUm_JPEG/movie_image.jpg,37972,"[191917, 51781, 164684, 34969, 38572, 96910, 45719, 164932, 31606]","어린 손자와 살고 있는 일흔 살 덕구 할배는자신에게 주어진 시간이 얼마 남지 않음을 알게 된다.세상에 덩그러니 남겨질 두 아이들을 위해할배는 자신을 대신할 사람을 찾아주기로 하고,홀로 먼 길을 떠나 특별한 선물을 준비하는데..","['위해', '얼마', '대신', '덕구', '홀로', '일흔', '세상', '선물', '시간', '손자']"
